id_solicitud,fecha_solicitud,programa,modalidad,edad,estado_civil,promedio_pregrado,experiencia_anios,puntaje_examen,ingresos_hogar,nota_entrevista,admitido,admitido_texto
S00565,10/11/2025,Sistemas,Presencial,37,Soltero,"3,50",6.1,257,1540000.0,3.3,0,No admitido
S00142,28/10/2025,Industrial,Virtual,26,Casado,"2,76",5.7,,2410000.0,3.4,0,No admitido
S00436,06/10/2025,Sistemas,Virtual,34,union libre,"4,31",5.6,317,-999.0,4.1,1,Admitido
S00071,19/12/2025,Industrial,Presencial,31,soltero,"4,24",7.5,256,-999.0,,1,Admitido
S00292,15/12/2025,Sistemas,Virtual,29,Soltero,"3,88",4.1,326,4690000.0,,1,Admitido
S00259,10/10/2025,Industrial,Virtual,21,Casado,"4,11",,345,1090000.0,,1,Admitido
S90001,20/12/2025,Industrial,Presencial,21,Soltero,"3,45",3.4,334,2360000.0,,1,Admitido
S00230,24/12/2025,Electrica,Presencial,21,Casado,"3,43",5.4,,2830000.0,,1,Admitido
S00250,07/12/2025,Sistemas,Presencial,27,Soltero,"4,46",1.3,296,4240000.0,,1,Admitido
S00384,12/10/2025,Sistemas,Presencial,22,Soltero,"4,47",4.6,323,2390000.0,,1,Admitido
S00338,26/12/2025,Sistemas,Presencial,21,Soltero,"4,17",3.1,325,-999.0,3.4,1,Admitido
S00111,16/12/2025,Industrial,Virtual,24,casado,"4,30",,228,1760000.0,,1,Admitido
S00295,26/10/2025,Industrial,Presencial,26,Soltero ,"3,96",0.9,-,9890000.0,,1,Admitido
S00388,23/09/2025,Industrial,Presencial,36,Soltero,"3,47",4.1,362,5190000.0,,1,Admitido
S00456,08/10/2025,Sistemas,Presencial,30,Union libre,"3,82",2.4,,5040000.0,,0,No admitido
S00201,20/09/2025,Electrica,Virtual,30,Soltero,"3,61",2.6,286,1800000.0,,0,No admitido
S00334,21/10/2025,Sistemas,Presencial,23,Soltero ,"3,34",,217,1710000.0,3.5,0,No admitido
S00160,28/10/2025,Sistemas,Presencial,21,Soltero,"4,41",1.7,291,2250000.0,,1,Admitido
S00442,04/12/2025,Sistemas,Presencial,22,Soltero,"3,49",2.9,271,1780000.0,4.5,0,No admitido
S00322,21/11/2025,Sistemas,Presencial,25,Casado,"4,16",2.7,250,2360000.0,,0,No admitido
S00054,20/12/2025,Sistemas,Presencial,38,Unión libre,"3,97",7.0,248,1690000.0,2.4,0,No admitido
S00558,09/12/2025,Sistemas,Virtual,39,Soltero,"3,08",6.3,295,1210000.0,,0,No admitido
S00452,09/10/2025,Industrial,Presencial,26,Soltero,"3,91",4.5,317,4560000.0,,1,Admitido
S00249,26/11/2025,Electrica,Virtual,24,Union libre,"3,33",,327,1920000.0,,0,No admitido
S00281,18/10/2025,Industrial,Virtual,34,Union libre,"4,96",,331,1000000.0,,1,Admitido
S00102,20/10/2025,Industrial,Virtual,31,Casado,"4,23",1.7,272,1000000.0,,0,No admitido
S00423,05/09/2025,Sistemas,Presencial,26,Casado,"3,73",0.0,N/D,1380000.0,4.2,1,Admitido
S00508,02/10/2025,Industrial,Presencial,26,Union libre,"3,68",4.4,283,3190000.0,,1,Admitido
S00427,27/12/2025,Industrial,Virtual,30,Soltero ,"3,83",,311,2810000.0,,1,Admitido
S00328,16/09/2025,Electrica,Presencial,27,Casado,"4,60",3.4,296,1000000.0,3.7,1,Admitido
S00447,09/12/2025,Industrial,Presencial,25,Soltero,"3,98",4.5,317,2540000.0,3.5,1,Admitido
S00155,09/11/2025,Industrial,Presencial,38,Casado,"4,98",5.0,229,3280000.0,,1,Admitido
