id_estudiante,programa,edad,estrato,trabaja,promedio_anterior,horas_estudio_semana,asistencia_pct,nota_final,aprobo
E0001,Electrica,29,5,0,3.66,2.7,81.8,3.23,1
E0002,Industrial,29,3,0,4.14,18.2,90.2,4.63,1
E0003,Civil,28,4,1,2.59,6.6,70.9,2.51,0
E0004,Electrica,21,2,0,3.82,8.9,99.5,3.46,1
E0005,Sistemas,21,1,0,4.22,5.7,80.1,3.13,1
E0006,Civil,27,3,0,3.58,9.7,90.5,3.35,1
E0007,Electrica,25,2,1,3.91,2.6,89.6,3.38,1
E0008,Electrica,29,4,1,3.31,7.7,83.5,3.27,1
E0009,Sistemas,30,4,0,3.59,9.9,86.9,3.1,1
E0010,Industrial,28,1,1,2.87,6.2,80.1,2.29,0
E0011,Sistemas,30,3,0,2.52,10.3,85.5,2.67,0
E0012,Civil,28,2,0,4.1,6.6,80.8,3.52,1
E0013,Industrial,29,5,1,3.18,3.9,76.0,2.17,0
E0014,Electrica,24,2,0,3.43,10.9,99.3,3.17,1
E0015,Industrial,26,3,0,2.98,3.8,85.0,2.56,0
E0016,Sistemas,28,3,0,2.97,8.4,78.9,3.05,1
E0017,Industrial,31,3,0,3.57,15.5,81.4,3.39,1
E0018,Sistemas,25,4,1,3.3,1.2,89.9,2.69,0
E0019,Electrica,29,4,0,3.83,12.2,92.1,4.28,1
E0020,Industrial,26,3,0,3.87,9.6,91.0,3.32,1
E0021,Electrica,26,4,0,3.8,6.1,83.7,3.39,1
E0022,Sistemas,31,6,0,3.76,11.2,91.2,4.16,1
E0023,Civil,21,3,0,4.41,5.6,80.2,3.63,1
E0024,Civil,21,3,0,3.14,8.5,83.7,2.98,0
E0025,Electrica,21,1,1,3.62,0.6,88.7,3.29,1
E0026,Sistemas,21,4,0,4.19,1.4,93.9,3.45,1
E0027,Industrial,24,3,0,4.26,6.8,77.2,4.1,1
E0028,Sistemas,30,3,0,2.97,6.7,78.3,3.07,1
E0029,Sistemas,26,2,0,3.5,7.1,87.0,3.25,1
E0030,Electrica,28,5,0,4.3,12.6,100.0,4.48,1
E0031,Electrica,32,3,0,3.89,14.2,68.8,3.91,1
E0032,Civil,33,4,0,3.74,10.2,88.5,4.06,1
E0033,Sistemas,27,2,1,3.55,9.2,67.6,2.89,0
E0034,Sistemas,33,6,1,3.47,2.7,74.3,2.76,0
E0035,Industrial,27,2,0,3.79,5.0,82.7,3.36,1
E0036,Sistemas,23,2,0,3.53,11.3,82.2,3.81,1
E0037,Sistemas,24,5,0,3.63,4.6,81.2,2.89,0
E0038,Industrial,21,5,0,3.69,4.3,86.1,3.67,1
E0039,Sistemas,23,2,0,3.32,29.5,81.2,4.59,1
E0040,Electrica,25,3,1,3.91,6.0,66.8,2.66,0
E0041,Industrial,31,4,1,5.0,3.7,87.0,4.31,1
E0042,Electrica,35,5,1,2.8,3.3,86.8,3.28,1
E0043,Electrica,21,3,0,3.81,3.7,93.6,3.79,1
E0044,Sistemas,29,3,1,3.29,7.1,66.1,3.28,1
E0045,Electrica,22,4,0,3.93,7.5,88.7,3.7,1
E0046,Electrica,29,4,0,3.67,14.0,92.1,3.33,1
E0047,Sistemas,26,4,0,4.02,11.5,76.7,3.17,1
E0048,Sistemas,21,3,1,4.21,4.3,80.1,3.45,1
E0049,Electrica,31,2,0,3.74,2.5,85.0,3.03,1
