mes,id_estudiante,programa,edad,estrato,trabaja,promedio_anterior,horas_estudio_semana,asistencia_pct,nota_final
1,M01-001,Electrica,23,3,0,4.42,7.4,90.2,3.38
1,M01-002,Sistemas,27,3,1,3.52,9.5,93.4,3.47
1,M01-003,Sistemas,34,4,0,3.38,11.9,94.2,3.74
1,M01-004,Electrica,27,2,1,3.56,3.2,85.7,2.4
1,M01-005,Industrial,25,3,0,3.48,7.8,78.7,3.66
1,M01-006,Sistemas,32,2,0,4.08,12.2,80.4,3.9
1,M01-007,Electrica,22,3,0,4.1,3.6,63.4,2.89
1,M01-008,Sistemas,26,3,0,3.96,11.1,84.5,3.8
1,M01-009,Industrial,32,3,1,3.52,4.3,81.8,2.49
1,M01-010,Industrial,24,1,0,3.69,7.8,100.0,3.85
1,M01-011,Civil,28,3,0,4.15,9.9,59.4,3.43
1,M01-012,Civil,27,4,0,3.97,10.0,82.8,3.49
1,M01-013,Sistemas,34,3,0,3.77,16.2,73.1,3.58
1,M01-014,Sistemas,21,5,1,3.83,5.9,78.7,3.24
1,M01-015,Industrial,25,3,0,4.21,3.8,79.3,3.62
1,M01-016,Sistemas,26,4,1,3.49,8.3,100.0,3.02
1,M01-017,Sistemas,29,4,1,3.17,17.8,92.1,2.8
1,M01-018,Civil,29,4,0,3.5,12.8,87.7,3.42
1,M01-019,Electrica,29,6,1,4.57,1.9,81.0,3.3
1,M01-020,Industrial,33,4,0,3.28,22.0,65.0,3.85
1,M01-021,Industrial,30,5,0,4.25,8.6,86.1,3.78
1,M01-022,Civil,21,2,0,3.14,11.9,82.1,3.41
1,M01-023,Industrial,21,6,1,3.68,2.2,86.3,3.3
1,M01-024,Civil,25,5,0,3.98,16.6,79.3,3.85
1,M01-025,Civil,25,2,1,3.48,1.8,70.0,2.5
1,M01-026,Sistemas,25,3,0,3.36,21.2,96.1,3.97
1,M01-027,Sistemas,32,4,1,3.86,3.9,73.8,2.83
1,M01-028,Electrica,24,4,1,3.17,8.3,81.9,3.05
1,M01-029,Sistemas,32,1,1,4.19,8.7,85.3,3.74
1,M01-030,Sistemas,32,3,1,3.38,5.6,97.5,3.63
1,M01-031,Sistemas,27,3,0,3.9,9.2,86.4,3.89
1,M01-032,Industrial,25,1,0,3.38,8.0,88.5,3.3
1,M01-033,Sistemas,33,3,0,3.61,9.5,94.4,3.15
1,M01-034,Industrial,23,4,0,3.6,7.0,96.9,3.9
1,M01-035,Industrial,29,4,1,4.13,3.7,71.7,3.05
1,M01-036,Sistemas,28,6,0,3.94,3.1,87.4,3.43
1,M01-037,Sistemas,33,3,0,3.11,7.9,98.8,4.18
1,M01-038,Industrial,29,1,0,2.97,6.5,72.7,2.71
1,M01-039,Sistemas,27,4,1,3.1,7.4,85.4,3.1
1,M01-040,Industrial,32,3,1,3.26,2.9,49.7,2.26
1,M01-041,Industrial,25,2,0,4.16,6.7,85.5,4.09
1,M01-042,Sistemas,30,4,0,3.74,9.2,81.2,3.79
1,M01-043,Industrial,28,3,1,4.19,1.8,84.7,3.62
1,M01-044,Sistemas,27,3,0,3.28,7.9,88.3,2.88
1,M01-045,Industrial,21,3,1,3.52,13.0,79.3,3.57
1,M01-046,Sistemas,27,4,1,3.44,1.9,88.4,2.93
1,M01-047,Industrial,22,3,1,2.92,27.0,74.6,3.9
1,M01-048,Civil,29,2,0,4.24,13.0,76.4,3.46
1,M01-049,Sistemas,38,4,0,3.13,7.7,70.9,3.06
1,M01-050,Sistemas,26,1,1,3.06,7.0,80.9,2.9
1,M01-051,Sistemas,31,5,0,3.8,1.4,100.0,3.66
1,M01-052,Industrial,32,2,1,4.15,2.6,86.0,3.64
1,M01-053,Industrial,22,4,0,4.04,5.2,87.5,3.23
1,M01-054,Sistemas,30,4,0,3.9,19.6,67.5,3.54
1,M01-055,Sistemas,26,1,1,4.39,3.5,89.6,4.17
1,M01-056,Electrica,25,3,1,3.37,4.6,93.0,2.75
1,M01-057,Industrial,31,4,1,2.85,4.2,74.9,2.91
1,M01-058,Industrial,24,4,0,3.92,7.1,75.7,4.02
1,M01-059,Electrica,25,2,0,3.49,6.3,72.1,3.46
1,M01-060,Electrica,30,5,0,3.96,8.9,71.7,4.01
1,M01-061,Civil,33,3,0,4.57,5.7,88.5,3.88
1,M01-062,Sistemas,27,4,0,4.17,6.1,94.4,3.85
1,M01-063,Sistemas,30,2,0,3.82,4.7,89.0,3.74
1,M01-064,Sistemas,21,3,1,3.39,9.2,94.1,3.08
1,M01-065,Sistemas,27,5,0,4.19,12.3,85.7,3.81
1,M01-066,Industrial,29,3,1,4.17,22.4,76.9,4.16
1,M01-067,Industrial,23,4,0,4.05,4.7,82.9,2.89
1,M01-068,Civil,30,1,1,3.79,1.5,79.1,3.15
1,M01-069,Electrica,28,2,1,3.23,25.8,99.8,4.12
1,M01-070,Industrial,28,2,1,3.8,0.5,85.4,3.48
1,M01-071,Sistemas,32,4,1,4.28,2.9,87.1,3.55
1,M01-072,Industrial,33,5,0,3.33,11.1,100.0,4.23
1,M01-073,Civil,22,4,0,3.97,10.6,79.0,4.11
1,M01-074,Civil,24,2,1,4.64,0.5,100.0,3.81
1,M01-075,Electrica,29,3,0,4.0,12.8,77.4,4.32
1,M01-076,Electrica,26,2,0,3.97,10.8,93.0,3.46
1,M01-077,Electrica,36,4,0,3.76,13.3,99.4,4.37
1,M01-078,Electrica,32,3,1,4.04,9.5,81.9,3.54
1,M01-079,Industrial,23,6,0,5.0,8.7,91.2,4.03
1,M01-080,Industrial,24,3,1,3.33,1.0,76.5,2.18
1,M01-081,Sistemas,21,3,0,3.35,22.1,81.8,4.33
1,M01-082,Industrial,29,6,1,3.83,0.5,82.0,3.02
1,M01-083,Civil,24,4,1,3.2,3.4,77.3,2.49
1,M01-084,Industrial,24,2,0,3.28,8.4,85.2,2.52
1,M01-085,Electrica,21,3,0,3.2,2.2,88.6,2.91
1,M01-086,Industrial,31,2,0,3.68,15.0,91.9,4.15
1,M01-087,Industrial,24,3,0,2.69,9.5,87.5,2.62
1,M01-088,Electrica,23,3,1,3.33,3.1,69.9,2.43
1,M01-089,Electrica,21,2,1,3.11,3.1,78.9,2.25
1,M01-090,Sistemas,29,2,1,3.46,7.9,73.7,3.39
1,M01-091,Civil,28,4,0,3.88,4.0,88.7,3.45
1,M01-092,Sistemas,30,4,1,3.87,5.8,86.3,3.15
1,M01-093,Electrica,33,3,0,3.7,11.9,90.4,3.39
1,M01-094,Sistemas,28,2,0,3.92,8.0,87.5,4.33
1,M01-095,Sistemas,25,4,0,3.51,20.6,89.9,3.91
1,M01-096,Civil,21,2,0,3.61,7.6,80.2,3.69
1,M01-097,Electrica,27,2,0,3.29,4.5,100.0,3.58
1,M01-098,Sistemas,29,4,1,3.72,3.0,90.4,2.99
1,M01-099,Electrica,28,4,0,3.49,7.3,79.4,3.5
1,M01-100,Electrica,21,2,0,2.85,4.6,84.7,2.79
1,M01-101,Sistemas,33,4,1,3.66,10.3,84.1,3.07
1,M01-102,Civil,30,3,1,4.73,4.1,83.9,3.43
1,M01-103,Civil,25,3,1,2.9,6.2,80.1,2.61
1,M01-104,Sistemas,26,1,0,3.68,11.3,75.9,4.01
1,M01-105,Electrica,21,3,1,2.79,3.7,89.3,2.43
1,M01-106,Sistemas,28,2,0,4.4,11.2,90.4,4.23
1,M01-107,Sistemas,25,3,0,4.55,9.0,83.4,4.41
